RecallAtN,Engine,ParamKey,Recall,Recall Rounded,Latency_Avg,Latency_P95,Throughput,Speedup
recall@100,qdrant,hnsw_ef=10_oversampling=3_size=100,0.8716,0.87,171.6061,314.9861,23.1747,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=1,0.8871,0.89,83.4448,106.5146,47.3375,2
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=1.5,0.9197,0.92,83.7900,106.9460,47.3393,7
recall@100,qdrant,hnsw_ef=50_oversampling=3_size=100,0.9327,0.93,607.0291,907.2722,6.5533,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=2,0.9390,0.94,90.5526,114.9391,43.7721,7
recall@100,qdrant,hnsw_ef=60_oversampling=3_size=100,0.9423,0.94,668.4156,997.7576,5.9503,
recall@100,qdrant,hnsw_ef=70_oversampling=3_size=100,0.9492,0.95,861.4137,1289.3281,4.6194,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=2.5,0.9515,0.95,90.9470,116.2647,43.5941,9
recall@100,qdrant,hnsw_ef=80_oversampling=3_size=100,0.9549,0.95,1031.6357,1550.2863,3.8569,
recall@100,qdrant,hnsw_ef=90_oversampling=3_size=100,0.9592,0.96,1176.6073,1770.3599,3.3814,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=3,0.9599,0.96,92.8773,118.7437,42.6934,13
recall@100,qdrant,hnsw_ef=100_oversampling=3_size=100,0.9628,0.96,1292.1556,1925.5004,3.0792,
recall@100,qdrant,hnsw_ef=150_oversampling=3_size=100,0.9628,0.96,1264.2595,1892.1292,3.1477,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=3.5,0.9666,0.97,94.7678,123.2462,41.8260,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=4,0.9712,0.97,102.6601,135.0266,38.6618,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=4.5,0.9753,0.98,105.3289,137.6242,37.6804,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=5,0.9784,0.98,105.3648,140.1463,37.6465,
recall@100,elasticsearch,k=100_oversample=3_size=100_visit_percentage=5.5,0.9808,0.98,112.5440,149.9064,35.2525,
